"field1","field2","field3","entity","class","taxonSpecific","constrainedValues","family","examples","description"
"model","algorithm","maxent","expertMapRateSet","numeric vector","optional","NULL","maxentExpertMap","0.05","Decay rate of prior probability outside expert map boundary. See @article{author = {Merow, Cory  and Wilson, Adam M and Jetz, Walter},title = {{Integrating occurrence data and expert maps for improved species range predictions}},journal = {Global Ecology and Biogeography},year = {2017},volume = {26},number = {2},pages = {243--258}}."
"model","algorithm","maxent","expertMapRateRule","character","no","NULL","maxentExpertMap","NULL","Rule for setting decay rate of prior probability outside expert map boundary. See @article{author = {Merow, Cory  and Wilson, Adam M and Jetz, Walter},title = {{Integrating occurrence data and expert maps for improved species range predictions}},journal = {Global Ecology and Biogeography},year = {2017},volume = {26},number = {2},pages = {243--258}}."
"model","algorithm","maxent","expertMapSkewSet","numeric vector","optional","NULL","maxentExpertMap","0","Skew defines asymmetry in the decay rate outside the expert boundary. See @article{author = {Merow, Cory  and Wilson, Adam M and Jetz, Walter},title = {{Integrating occurrence data and expert maps for improved species range predictions}},journal = {Global Ecology and Biogeography},year = {2017},volume = {26},number = {2},pages = {243--258}}."
"model","algorithm","maxent","expertMapSkewRule","character","no","NULL","maxentExpertMap","NULL","Rule for setting skew, which defines asymmetry in the decay rate outside the expert boundary. See @article{author = {Merow, Cory  and Wilson, Adam M and Jetz, Walter},title = {{Integrating occurrence data and expert maps for improved species range predictions}},journal = {Global Ecology and Biogeography},year = {2017},volume = {26},number = {2},pages = {243--258}}."
"model","algorithm","maxent","expertMapShiftSet","numeric vector","optional","NULL","maxentExpertMap","0","Shift of decay relative to the expert map boundary. See @article{author = {Merow, Cory  and Wilson, Adam M and Jetz, Walter},title = {{Integrating occurrence data and expert maps for improved species range predictions}},journal = {Global Ecology and Biogeography},year = {2017},volume = {26},number = {2},pages = {243--258}}."
"model","algorithm","maxent","expertMapShiftRule","character","no","NULL","maxentExpertMap",NA,"Rule for setting shift of decay relative to the expert map boundary. See @article{author = {Merow, Cory  and Wilson, Adam M and Jetz, Walter},title = {{Integrating occurrence data and expert maps for improved species range predictions}},journal = {Global Ecology and Biogeography},year = {2017},volume = {26},number = {2},pages = {243--258}}."
"model","algorithm","maxent","notes","character vector","optional","NULL","maxent","NULL","User specified"
"model","algorithm","ppm","formula","character","optional","NULL","ppm","~bio1 + I(bio1)^2 +bio4 + (bio4)^2+bio1*bio4","Specify the formula as you would in the software used"
"model","algorithm","ppm","fitting","character","optional","NULL","ppm","downweighted Poisson regression; infinitely weighted logistic regression","User specified text to indicate the method used for fitting. See, especially appendix of, @article{author = {Renner, Ian W and Elith, Jane and Baddeley, Adrian and Fithian, William and Hastie, Trevor and Phillips, Steven J and Popovic, Gordana and Warton, David I},title = {{Point process models for presence-only analysis}},journal = {Methods in Ecology and Evolution},year = {2015},volume = {6},number = {4},pages = {366--379}}"
"model","algorithm","ppm","notes","character vector","optional","NULL","ppm","NULL","User specified"
"model","ensemble",NA,"algorithms","character vector","optional","maxent; ppm; glm; mars; brt; bioclim; ann; gam; randomForest; rangeBagging;","ensemble, ODMAP","maxent; glm; mars; brt;","A vector of the algorithm names used in an ensemble model. Use constrained values if applicable for algorithm names."
"model","ensemble",NA,"weighting","character vector","optional","NULL","ensemble","Models weighted by AUC scores on test data;","Describe rules used for weighting models in the ensemble"
"model","ensemble",NA,"notes","character vector","optional","NULL","ensemble","NULL","User specified"
"model","algorithm","glm","family","character","no","binomial; poisson; negative binomial","glm","binomial; poisson; negative binomial","Distribution family"
"model","algorithm","glm","formula","character","optional","NULL","glm","~bio1 + I(bio1)^2 +bio4 + (bio4)^2+bio1*bio4","Specify the formula as you would in the software used"
"model","algorithm","glm","weights","character vector","character vector","NULL","glm","NULL","Weights on observations"
"model","algorithm","glm","notes","character vector","character vector","NULL","glm","NULL","User specified. Note the GLM stands for generalized linear model."
"model","algorithm","mars","formula","character vector","optional","NULL","mars","~bio1 + bio4 + bio7","Specify the formula as you would in the software used."
"model","algorithm","mars","degree","numeric vector","optional","NULL","mars","2","Maximum degree of interaction"
"model","algorithm","mars","penalty","numeric vector","optional","NULL","mars","3","Generlized Cross Validation penalty per knot"
"model","algorithm","mars","nk","numeric vector","optional","NULL","mars","min(200, max(20, 2 * ncol(x))) + 1","Maximum number of model terms before pruning. The default is semi-automatically calculated from the number of predictors but may need adjusting"
"model","algorithm","mars","thresh","numeric vector","optional","NULL","mars","0.001","Forward stepping threshold. Default is 0.001. This is one of the arguments used to decide when forward stepping should terminate"
"model","algorithm","mars","pmethod","character vector","optional","NULL","mars","""backward"" ""none"" ""exhastive""","Pruning method"
"model","algorithm","mars","notes","character vector","optional","NULL","mars","NULL","User specified. Note that MARS stands for multivariate adaptive regression splines."
"model","algorithm","brt","formula","character vector","optional","NULL","brt","~bio1 + bio4 + bio7","Specify the formula as you would in the software used."
"model","algorithm","brt","distribution","character vector","optional","NULL","brt","bernoulli; adaboost; gaussian; laplace; coxph","Distribution family"
"model","algorithm","brt","nTrees","numeric vector","optional","NULL","brt","100","See R function gbm::gbm; total number of trees"
"model","algorithm","brt","interactionDepth","numeric vector","optional","NULL","brt","1","See R function gbm::gbm; complexity of fitted tree"
"model","algorithm","brt","shrinkage","numeric vector","optional","NULL","brt","0.001","See R function gbm::gbm; learning rate"
"model","algorithm","brt","bagFraction","numeric vector","optional","NULL","brt","0.5","See R function gbm::gbm; fraction of data used to fit successive trees"
"model","algorithm","brt","trainFraction","numeric vector","optional","NULL","brt","1","See R function gbm::gbm; fraction of data used in training"
"model","algorithm","brt","notes","character vector","optional","NULL","brt","NULL","User specified. Note that BRT stands for boosted regression trees"
"model","algorithm","bioclim","notes","character vector","optional","NULL","bioclim","NULL","User specified"
"model","algorithm","ann","formula","character vector","optional","NULL","ann","nnet(Data, SpeciesPresenceAbsence,...)","Give the explanatory variable, then the vector of presence and absence, then the option values for size and decay."
"model","algorithm","ann","size","numeric","optional","NULL","ann","size=2 (hidden layers)","Number of hiddne layers"
"model","algorithm","ann","decay","numeric","optional","NULL","ann","decay=0.001","Learning rate"
"model","algorithm","ann","notes","character vector","optional","NULL","ann","NULL","User specified. Note that ANN stands for artificial neural network."
"model","algorithm","gam","family","character","no","binomial; poisson; negative binomial; tweedie; gaussian; gamma; zero-inflated poisson","gam",NA,"Distribution family"
"model","algorithm","gam","formula","character vector","optional","NULL","gam","~s(bio1, k=10) + s(bio4, k=10)","Specify the formula either as you would in the software used or in plain text. Formula indicates the smoothing function (degree of smoothing) used in gam(); s for splines, lo for loess; k is the dimension of the basis used to represent the smoothing term. Other packages such as mgcv() select smoothing parameters through cross-validation, not used specified"
"model","algorithm","gam","smoothTerms","character vector","optional","thin-plate spline (tp); thin-plate spline with shrinkage (ts); Duchon spline (ds); cubic regression spline (cr); cubic regression spline with shrinkage (cs); cyclic cubic regression spline (cc); spline on the sphere (sos); P-spline (ps); cyclic P-spline (cs); random effect spline (re); markov random fields (mrf); gaussian process (gp); soap film(so)","gam","~s(bio1, k=10, bs = ""tp"") + s(month, bs = ""cc"")","Type of smoothing spline used (mgcv package)."
"model","algorithm","gam","weights","character vector","optional","NULL","gam","NULL","Prior weights on the contribution of the data to the log likelihood. Note that a weight of 2, for example, is equivalent to having made exactly the same observation twice."
"model","algorithm","gam","offset","character vector","optional","NULL","gam","NULL","Can be used to supply a model offset for use in fitting. Note that this offset will always be completely ignored when predicting, unlike an offset included in formula."
"model","algorithm","gam","method","character vector","no","generalised cross validation (GCV); restricted maximum likelihood (REML); maximum likelihood (ML)","gam","NULL","Smoothing parameter estimation method."
"model","algorithm","gam","select","character vector","no","TRUE; FALSE","gam","NULL","Shrinkage penalty. If this is TRUE then gam can add an extra penalty to each term so that it can be penalized to zero. This means that the smoothing parameter estimation that is part of fitting can completely remove terms from the model."
"model","algorithm","gam","notes","character vector","optional","NULL","gam","NULL","User specified. Note that GAM stands for generalized additive model."
"model","algorithm","fda","formula","character vector","optional","NULL","fda","~ 1 + bio3 + bio7 + bio11 + bio12","Any common fomula"
"model","algorithm","fda","method","character vector","optional","NULL","fda","method=mars","Non-parametric functions such as MARS and BRUTO"
"model","algorithm","fda","notes","character vector","optional","NULL","fda","NULL","User specified. Note that FDA stands for flexible discriminant analysis."
"model","algorithm","randomForest","ntree","numeric vector","optional","NULL","randomForest","500","number of trees"
"model","algorithm","randomForest","mtry","numeric vector","optional","NULL","randomForest","3","number of variables randomly sampled as candidates in each split"
"model","algorithm","randomForest","maxnodes","numeric vector","optional","NULL","randomForest","4","maximum number of nodes per tree"
"model","algorithm","randomForest","try","logical","optional","NULL","randomForest","TRUE","should sampling of cases be done with or without replacement"
"model","algorithm","randomForest","notes","character vector","optional","NULL","randomForest","NULL","User specified"
"model","algorithm","rangeBagging","votes","numeric vector","optional","NULL","rangeBagging","100","Number of replicates"
"model","algorithm","rangeBagging","nDimensions","numeric vector","optional","NULL","rangeBagging","2","Number of environmental dimensions sampled in each replicate"
"model","algorithm","rangeBagging","proportionSubset","numeric vector","optional","NULL","rangeBagging","0.5","Proportion of presences sampled during each replicate"
"model","algorithm","rangeBagging","notes","character vector","optional","NULL","rangeBagging","NULL","User specified"
"model","algorithm","occupancy","formula","character vector","optional","NULL","occupancy","~bio1 + I(bio1)^2 +bio4 + (bio4)^2+bio1*bio4","Specify the formula used for occurrence either as you would in the software used or in plain text"
"model","algorithm","occupancy","observationFormula","character vector","optional","NULL","occupancy","~humanPopulationDensity","Specify the formula used for observation either as you would in the software used or in plain text"
"model","algorithm","occupancy","notes","character vector","optional","NULL","occupancy","NULL","User specified"
"model",NA,NA,"references","character vector","no","NULL","base","@article{Merow:2013eq,author = {Merow, Cory  and Smith, Matthew J and Silander, John A},title = {{A practical guide to MaxEnt for modeling species{\textquoteright} distributions: what it does, and why inputs and settings matter}},journal = {Ecography},year = {2013},volume = {36},number = {10},pages = {1058--1069}}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"model","justification",NA,"modelComplexity","character vector",NA,"NULL","ODMAP","The model settings were chosen to yield simple, smooth response surfaces because we attempt extrapolation and the species may not be at equilibrium with the environment.","Provide a general description of model complexity"
"prediction","continuous",NA,"units","character","no","absolute probability; relative occurrence rate; other;","prediction","absolute probability;  relative occurrence rate; number of individuals; biomass (kg); biomass (g)","A description of the meaning and units of the prediction."
"prediction","continuous",NA,"minVal","numeric vector","yes","NULL","prediction","0.001","Minimum predicted value in study region."
"prediction","continuous",NA,"maxVal","numeric vector","yes","NULL","prediction","0.97","Maximum predicted value in study region."
"prediction","binary",NA,"thresholdSet","numeric vector","yes","NULL","base","0.34","Threshold value of predicted occurrence probability used to distinguish presence from absence for binary classification (e.g., truePositiveRate, falseNegativeRate)"
"prediction","binary",NA,"thresholdRule","numeric vector","optional","1% quantile of training presences; 5% quantile of training presences; 10% quantile of training presences; max (sensitivity + specificity); other","base","5% quantile of training presences","Rule for obtaining a threshold value of predicted occurrence probability used to distinguish presence from absence for binary classification (e.g., truePositiveRate, falseNegativeRate)"
"prediction",NA,NA,"notes","character vector","optional","NULL","prediction","NULL","User specified"
"prediction",NA,NA,"extrapolation","character","no","clamping; extrapolate function; other;","base","clamping; extrapolate function","In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data."
"prediction","transfer","environment1","units","character","no","absolute probability;  relative occurrence rate; other;","transferEnv1","absolute probability;  relative occurrence rate; presence/absence","The units of the prediction, e.g., absolute probability (occupancy), relative probobility (relative occurrence rate), abdunance, relative abundance, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","minVal","numeric vector","optional","NULL","transferEnv1","0.001","Supply a vector of minimum values all taxa predictions. For example, the first element is the minimum predicted value for taxon 1, the second element is the minimum predicted value for taxon 2, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","maxVal","numeric vector","optional","NULL","transferEnv1","0.97","Supply a vector of maximum values for all taxa predictions. For example, the first element is the maximum predicted value for taxon 1, the second element is the maximum predicted value for taxon 2, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","thresholdSet","numeric vector","optional","NULL","transferEnv1","0.34","only if binary/trinary. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","thresholdRule","numeric vector","no","NULL","transferEnv1","5% quantile of training presences","only if binary/trinary. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","extrapolation","character","no","clamping; extrapolate function; other;","base","clamping; extrapolate function","In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data."
"prediction","transfer","environment1","notes","character vector","optional","NULL","transferEnv1","NULL","User specified. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer",NA,"notes","character vector","optional","NULL","base","NULL","User specified"
"prediction","transfer",NA,"extrapolation","character","no","clamping; extrapolate function; other;","NULL","clamping; extrapolate function","In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data."
"prediction","uncertainty",NA,"units","character","no","NULL","base","absolute probability; relative probability","Units of values on uncertainty map"
"prediction","uncertainty",NA,"minVal","numeric vector","yes","NULL","base","0.001","Minimum predicted value in study region."
"prediction","uncertainty",NA,"maxVal","numeric vector","yes","NULL","base","0.14","Maximum predicted value in study region."
"prediction","uncertainty",NA,"algorithmic","character","no","NULL","ODMAP","We quantify the error range in predictions originating from different algorithms using the standard deviation.","Specify how you accounted for algorithmic uncertainty in your model predictions."
"prediction","uncertainty",NA,"parameter","character","no","NULL","ODMAP","We quantify the error range in predictions originating from different candidate models using the standard deviation.","Specify how you accounted for parameter uncertainty in your model predictions."
"prediction","uncertainty",NA,"scenario","character","no","NULL","ODMAP","We quantify the error range in predictions originating from different climate scenarios using the standard deviation.","Specify how you accounted for uncertainty in scenarios in your model predictions."
"prediction","uncertainty",NA,"inputData","character","no","NULL","ODMAP","We compare predictions from models calibrated on different input data.","Specify how you accounted for uncertainty in input data in your model predictions."
"prediction","uncertainty",NA,"extrapolation","character","no","NULL","ODMAP","We used MESS (multivariate environmental similarity surface) maps to quantify environmental novelty in the transfer data.","Specify how you indentified/treated novel environments in your model transfers."
"prediction","uncertainty",NA,"notes","character vector","optional","NULL","base","NULL","User specified"
"assessment","trainingDataStats",NA,"AUC","numeric vector","yes","NULL","binaryClassification","0.923","Area Under the Curve (ROC curve); See R function ROCR::performance."
"assessment","trainingDataStats",NA,"pearsonCor","numeric vector","yes","NULL","binaryClassification","0.914","Pearson's correlation coefficient; See R function ROCR::performance."
"assessment","trainingDataStats",NA,"cohensKappa","numeric vector","yes","NULL","binaryClassification","0.842","Cohen's kappa statistic; See R function ROCR::performance."
"assessment","trainingDataStats",NA,"trueSkillStatistic","numeric vector","yes","NULL","binaryClassification","0.825","See R function ROCR::performance"
"assessment","trainingDataStats",NA,"truePositiveRate","numeric vector","yes","NULL","binaryClassification","0.95","See R function ROCR::performance"
"assessment","trainingDataStats",NA,"trueNegativeRate","numeric vector","yes","NULL","binaryClassification","0.7","See R function ROCR::performance"
"assessment","trainingDataStats",NA,"falsePositiveRate","numeric vector","yes","NULL","binaryClassification","0.3","See R function ROCR::performance"
"assessment","trainingDataStats",NA,"falseNegativeRate","numeric vector","yes","NULL","binaryClassification","0.05","See R function ROCR::performance"
"assessment","trainingDataStats",NA,"boyce","numeric vector","yes","NULL","binaryClassification","0.874","Boyce index; See R package ecospat"
"assessment","trainingDataStats",NA,"pAUC","numeric vector","yes","NULL","binaryClassification","0.843","See R package pAUC"
"assessment","trainingDataStats",NA,"pAUCLoThreshold","numeric vector","yes","NULL","binaryClassification","0.211","Lower threshold value used for calculating partial AUC"
"assessment","trainingDataStats",NA,"pAUCHiThreshold","numeric vector","yes","NULL","binaryClassification","0.564","Upper threshold value used for calculating partial AUC"
"assessment","trainingDataStats",NA,"AIC","numeric vector","yes","NULL","NULL","34.2","Akaike Information Criterion"
"assessment","trainingDataStats",NA,"BIC","numeric vector","yes","NULL","NULL","27.4","Bayesian Information Criterion"
"assessment","trainingDataStats",NA,"DIC","numeric vector","yes","NULL","NULL","19.6","Deviance Information Criterion"
"assessment","testingDataStats",NA,"AUC","numeric vector","yes","NULL","binaryClassification","0.923","Area Under the Curve (ROC curve); See R function ROCR::performance."
"assessment","testingDataStats",NA,"AUCDiff","numeric vector","yes","NULL","binaryClassification","0.001","Absolute difference between AUCtrain and AUCtest"
"assessment","testingDataStats",NA,"pearsonCor","numeric vector","yes","NULL","binaryClassification","0.914","Pearson's correlation coefficient; See R function ROCR::performance."
"assessment","testingDataStats",NA,"cohensKappa","numeric vector","yes","NULL","binaryClassification","0.842","Cohen's kappa statistic; See R function ROCR::performance."
"assessment","testingDataStats",NA,"trueSkillStatistic","numeric vector","yes","NULL","binaryClassification","0.825","See R function ROCR::performance"
"assessment","testingDataStats",NA,"truePositiveRate","numeric vector","yes","NULL","binaryClassification","0.95","See R function ROCR::performance"
"assessment","testingDataStats",NA,"trueNegativeRate","numeric vector","yes","NULL","binaryClassification","0.7","See R function ROCR::performance"
"assessment","testingDataStats",NA,"falsePositiveRate","numeric vector","yes","NULL","binaryClassification","0.3","See R function ROCR::performance"
"assessment","testingDataStats",NA,"falseNegativeRate","numeric vector","yes","NULL","binaryClassification","0.05","See R function ROCR::performance"
"assessment","testingDataStats",NA,"boyce","numeric vector","yes","NULL","binaryClassification","0.874","Boyce index; See R package ecospat"
"assessment","testingDataStats",NA,"omissionRate","numeric vector","yes","NULL","binaryClassification","0.125","Omission rate of occurrence points on test data"
"assessment","testingDataStats",NA,"notes","character vector","yes","NULL","binaryClassification","threshold set to minimum training presence","Used to state thresholds for threshold-dependent evaluation metrics, etc."
"assessment","evaluationDataStats",NA,"AUC","numeric vector","yes","NULL","binaryClassification","0.923","Area Under the Curve (ROC curve); See R function ROCR::performance."
"assessment","evaluationDataStats",NA,"pearsonCor","numeric vector","yes","NULL","binaryClassification","0.914","Pearson's correlation coefficient; See R function ROCR::performance."
"assessment","evaluationDataStats",NA,"cohensKappa","numeric vector","yes","NULL","binaryClassification","0.842","Cohen's kappa statistic; See R function ROCR::performance."
"assessment","evaluationDataStats",NA,"trueSkillStatistic","numeric vector","yes","NULL","binaryClassification","0.825","See R function ROCR::performance"
"assessment","evaluationDataStats",NA,"truePositiveRate","numeric vector","yes","NULL","binaryClassification","0.95","See R function ROCR::performance"
"assessment","evaluationDataStats",NA,"trueNegativeRate","numeric vector","yes","NULL","binaryClassification","0.7","See R function ROCR::performance"
"assessment","evaluationDataStats",NA,"falsePositiveRate","numeric vector","yes","NULL","binaryClassification","0.3","See R function ROCR::performance"
"assessment","evaluationDataStats",NA,"falseNegativeRate","numeric vector","yes","NULL","binaryClassification","0.05","See R function ROCR::performance"
"assessment","evaluationDataStats",NA,"boyce","numeric vector","yes","NULL","binaryClassification","0.874","Boyce index; See R package ecospat"
"assessment","trainingDataStats",NA,"metrics","character vector","no","AUC; TSS; Boyce; sensitivity; specificity;","ODMAP","AIC, BIC, DIC, AUC, true positive rate, true negative rate, false positive rate, false negative rate, Kappy, TSS","Indicate the performance statistics estimated on training data. Note that this entity is designed to include simply a vector of the metrics used for consistency with the ODMAP protocol. You might also consider including explict numeric values of different performance metrics under other entities in the assessment field, following the RMMS protocol."
"assessment","testingDataStats",NA,"metrics","character vector","no","AUC; TSS; Boyce; sensitivity; specificity;","ODMAP","AIC, BIC, DIC, AUC, true positive rate, true negative rate, false positive rate, false negative rate, Kappy, TSS","Indicate the performance statistics estimated on validation data. Note that this entity is designed to include simply a vector of the metrics used for consistency with the ODMAP protocol. You might also consider including explict numeric values of different performance metrics under other entities in the assessment field, following the RMMS protocol"
"assessment","evaluationDataStats",NA,"metrics","character vector","no","AUC; TSS; Boyce; sensitivity; specificity;","ODMAP","AIC, BIC, DIC, AUC, true positive rate, true negative rate, false positive rate, false negative rate, Kappy, TSS","Indicate the performance statistics estimated on (independent) test data. Note that this entity is designed to include simply a vector of the metrics used for consistency with the ODMAP protocol. You might also consider including explict numeric values of different performance metrics under other entities in the assessment field, following the RMMS protocol"
"assessment",NA,NA,"expertJudgement","character","no","NULL","ODMAP","The predicted range was compared against expert judgement.","Describe any plausibility checks based on expert judgements, e.g. map displays."
"assessment",NA,NA,"responseCurves","character vector","no","partial response plot, evaluation strip, inflated response","ODMAP","We used inflated response curves to visualize model behavior.","Methods used to visualize response plots"
"assessment",NA,NA,"references","character vector","no","NULL","base","@article{Liu:2010cq, author = {Liu, Canran and White, Matt and Newell, Graeme},title = {{Measuring and comparing the accuracy of species distribution models with presence-absence data}},year = {2010},volume = {34},number = {2},pages = {232--243}}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"assessment",NA,NA,"notes","character vector","optional","NULL","base","NULL","User specified"
"code","wallace",NA,"occsNum","numeric","yes","NULL","wallace","NULL","Internal use only in Wallace. Note that this may differ from data:occurrence:pesenceSampleSize because users may subset the presence points in Wallace."
"code","wallace",NA,"userCSV","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"removedIDs","numeric vector","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"occsCellPolyCoords","numeric vector","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"userBgExt","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"userBgPath","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"userBgShpParams","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"maxentEvalPlotCell","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"bcPlotSettings","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","software",NA,"platform","character vector","no","NULL","base","@Manual{title = {R: A Language and Environment for Statistical Computing},author = {{R Core Team}},organization = {R Foundation for Statistical Computing},address = {Vienna, Austria},year = {2017},url = {https://www.R-project.org/},}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"code","software",NA,"packages","character vector","no","NULL","base","@Manual{title = {dismo: Species Distribution Modeling},author = {Robert J. Hijmans and Steven Phillips and John Leathwick and Jane Elith},year = {2017}, note = {R package version 1.1-4},url = {https://CRAN.R-project.org/package=dismo},}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"code",NA,NA,"demoCodeLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains simplified examples of the analysis."
"code",NA,NA,"vignetteCodeLink","character","optional","NULL","base","https://cran.r-project.org/web/packages/bossMaps/vignettes/bossMaps.html","A permanent link to an R-style vignette."
"code",NA,NA,"fullCodeLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains complete code for the analysis."
"code",NA,NA,"demoDataLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains simplified examples of the analysis."
"code",NA,NA,"vignetteDataLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains data needed for demo code."
"code",NA,NA,"fullDataLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains data needed for vignettes code."
"code",NA,NA,"codeNotes","character","no","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains data needed for full code."
