"","X_WGS84","Y_WGS84","ConnochaetesGnou","GuloGulo","PantheraOnca","PteropusGiganteus","TenrecEcaudatus","VulpesVulpes"
"1",-94.5,82.000007823,0,0,0,0,0,0
"2",-91.5,82.000007823,0,1,0,0,0,0
"3",-88.5,82.000007823,0,1,0,0,0,0
"4",-85.5,82.000007823,0,1,0,0,0,0
"5",-82.5,82.000007823,0,1,0,0,0,0
"6",-79.5,82.000007823,0,1,0,0,0,0
"7",-76.5,82.000007823,0,1,0,0,0,0
"8",-73.5,82.000007823,0,1,0,0,0,0
"9",-70.5,82.000007823,0,1,0,0,0,0
"10",-67.5,82.000007823,0,1,0,0,0,0
"11",-64.5,82.000007823,0,1,0,0,0,0
"12",-61.5,82.000007823,0,1,0,0,0,0
"13",-58.5,82.000007823,0,0,0,0,0,0
"14",-55.5,82.000007823,0,0,0,0,0,0
"15",-52.5,82.000007823,0,0,0,0,0,0
"16",-49.5,82.000007823,0,0,0,0,0,0
"17",-46.5,82.000007823,0,0,0,0,0,0
"18",-43.5,82.000007823,0,0,0,0,0,0
"19",-40.5,82.000007823,0,0,0,0,0,0
"20",-37.5,82.000007823,0,0,0,0,0,0
"21",-34.5,82.000007823,0,0,0,0,0,0
"22",-31.5,82.000007823,0,0,0,0,0,0
"23",-28.5,82.000007823,0,0,0,0,0,0
"24",-25.5,82.000007823,0,0,0,0,0,0
"25",-22.5,82.000007823,0,0,0,0,0,0
"26",-19.5,82.000007823,0,0,0,0,0,0
"27",-16.5,82.000007823,0,0,0,0,0,0
"28",-13.5,82.000007823,0,0,0,0,0,0
"29",-10.5,82.000007823,0,0,0,0,0,0
"30",19.5,82.000007823,0,0,0,0,0,0
"31",22.5,82.000007823,0,0,0,0,0,0
"32",46.5,82.000007823,0,0,0,0,0,0
"33",49.5,82.000007823,0,0,0,0,0,0
"34",52.5,82.000007823,0,0,0,0,0,0
"35",55.5,82.000007823,0,0,0,0,0,0
"36",58.5,82.000007823,0,0,0,0,0,0
"37",61.5,82.000007823,0,0,0,0,0,0
"38",64.5,82.000007823,0,0,0,0,0,0
"39",79.5,82.000007823,0,0,0,0,0,0
"40",91.5,82.000007823,0,0,0,0,0,0
"41",94.5,82.000007823,0,0,0,0,0,0
"42",97.5,82.000007823,0,0,0,0,0,0
"43",-115.5,79.000007823,0,0,0,0,0,0
"44",-112.5,79.000007823,0,0,0,0,0,0
"45",-109.5,79.000007823,0,0,0,0,0,0
"46",-106.5,79.000007823,0,0,0,0,0,0
"47",-103.5,79.000007823,0,0,0,0,0,0
"48",-100.5,79.000007823,0,0,0,0,0,0
"49",-97.5,79.000007823,0,0,0,0,0,0
"50",-94.5,79.000007823,0,0,0,0,0,0
"51",-91.5,79.000007823,0,0,0,0,0,0
"52",-88.5,79.000007823,0,1,0,0,0,0
"53",-85.5,79.000007823,0,1,0,0,0,0
"54",-82.5,79.000007823,0,1,0,0,0,0
"55",-79.5,79.000007823,0,1,0,0,0,0
"56",-76.5,79.000007823,0,1,0,0,0,0
"57",-73.5,79.000007823,0,1,0,0,0,0
"58",-70.5,79.000007823,0,1,0,0,0,0
"59",-67.5,79.000007823,0,0,0,0,0,0
"60",-64.5,79.000007823,0,0,0,0,0,0
"61",-61.5,79.000007823,0,0,0,0,0,0
"62",-58.5,79.000007823,0,0,0,0,0,0
"63",-55.5,79.000007823,0,0,0,0,0,0
"64",-52.5,79.000007823,0,0,0,0,0,0
"65",-49.5,79.000007823,0,0,0,0,0,0
"66",-46.5,79.000007823,0,0,0,0,0,0
"67",-43.5,79.000007823,0,0,0,0,0,0
"68",-40.5,79.000007823,0,0,0,0,0,0
"69",-37.5,79.000007823,0,0,0,0,0,0
"70",-34.5,79.000007823,0,0,0,0,0,0
"71",-31.5,79.000007823,0,0,0,0,0,0
"72",-28.5,79.000007823,0,0,0,0,0,0
"73",-25.5,79.000007823,0,0,0,0,0,0
"74",-22.5,79.000007823,0,0,0,0,0,0
"75",-19.5,79.000007823,0,0,0,0,0,0
"76",-16.5,79.000007823,0,0,0,0,0,0
"77",10.5,79.000007823,0,0,0,0,0,0
"78",13.5,79.000007823,0,0,0,0,0,0
"79",16.5,79.000007823,0,0,0,0,0,0
"80",19.5,79.000007823,0,0,0,0,0,0
"81",22.5,79.000007823,0,0,0,0,0,0
"82",25.5,79.000007823,0,0,0,0,0,0
"83",28.5,79.000007823,0,0,0,0,0,0
"84",31.5,79.000007823,0,0,0,0,0,0
"85",34.5,79.000007823,0,0,0,0,0,0
"86",46.5,79.000007823,0,0,0,0,0,0
"87",49.5,79.000007823,0,0,0,0,0,0
"88",52.5,79.000007823,0,0,0,0,0,0
"89",55.5,79.000007823,0,0,0,0,0,0
"90",58.5,79.000007823,0,0,0,0,0,0
"91",61.5,79.000007823,0,0,0,0,0,0
"92",91.5,79.000007823,0,0,0,0,0,0
"93",94.5,79.000007823,0,0,0,0,0,0
"94",97.5,79.000007823,0,0,0,0,0,0
"95",100.5,79.000007823,0,0,0,0,0,0
"96",103.5,79.000007823,0,0,0,0,0,0
"97",106.5,79.000007823,0,0,0,0,0,0
"98",-121.5,76.000007823,0,0,0,0,0,0
"99",-118.5,76.000007823,0,1,0,0,0,0
"100",-115.5,76.000007823,0,1,0,0,0,0
"101",-112.5,76.000007823,0,1,0,0,0,0
"102",-109.5,76.000007823,0,1,0,0,0,0
"103",-106.5,76.000007823,0,1,0,0,0,0
"104",-103.5,76.000007823,0,0,0,0,0,0
"105",-100.5,76.000007823,0,0,0,0,0,0
"106",-97.5,76.000007823,0,0,0,0,0,0
"107",-94.5,76.000007823,0,0,0,0,0,0
"108",-91.5,76.000007823,0,0,0,0,0,0
"109",-88.5,76.000007823,0,1,0,0,0,0
"110",-85.5,76.000007823,0,1,0,0,0,0
"111",-82.5,76.000007823,0,1,0,0,0,0
"112",-79.5,76.000007823,0,1,0,0,0,0
"113",-76.5,76.000007823,0,0,0,0,0,0
"114",-73.5,76.000007823,0,0,0,0,0,0
"115",-70.5,76.000007823,0,0,0,0,0,0
"116",-67.5,76.000007823,0,0,0,0,0,0
"117",-64.5,76.000007823,0,0,0,0,0,0
"118",-61.5,76.000007823,0,0,0,0,0,0
"119",-58.5,76.000007823,0,0,0,0,0,0
"120",-55.5,76.000007823,0,0,0,0,0,0
"121",-52.5,76.000007823,0,0,0,0,0,0
"122",-49.5,76.000007823,0,0,0,0,0,0
"123",-46.5,76.000007823,0,0,0,0,0,0
"124",-43.5,76.000007823,0,0,0,0,0,0
"125",-40.5,76.000007823,0,0,0,0,0,0
"126",-37.5,76.000007823,0,0,0,0,0,0
"127",-34.5,76.000007823,0,0,0,0,0,0
"128",-31.5,76.000007823,0,0,0,0,0,0
"129",-28.5,76.000007823,0,0,0,0,0,0
"130",-25.5,76.000007823,0,0,0,0,0,0
"131",-22.5,76.000007823,0,0,0,0,0,0
"132",-19.5,76.000007823,0,0,0,0,0,0
"133",-16.5,76.000007823,0,0,0,0,0,0
"134",13.5,76.000007823,0,0,0,0,0,0
"135",16.5,76.000007823,0,0,0,0,0,0
"136",22.5,76.000007823,0,0,0,0,0,0
"137",55.5,76.000007823,0,0,0,0,0,0
"138",58.5,76.000007823,0,0,0,0,0,0
"139",61.5,76.000007823,0,0,0,0,0,0
"140",64.5,76.000007823,0,0,0,0,0,0
"141",67.5,76.000007823,0,0,0,0,0,0
"142",82.5,76.000007823,0,0,0,0,0,0
"143",85.5,76.000007823,0,0,0,0,0,0
"144",88.5,76.000007823,0,1,0,0,0,0
"145",91.5,76.000007823,0,1,0,0,0,0
"146",94.5,76.000007823,0,1,0,0,0,0
"147",97.5,76.000007823,0,1,0,0,0,0
"148",100.5,76.000007823,0,1,0,0,0,0
"149",103.5,76.000007823,0,1,0,0,0,0
"150",106.5,76.000007823,0,1,0,0,0,0
"151",109.5,76.000007823,0,1,0,0,0,0
"152",112.5,76.000007823,0,1,0,0,0,0
"153",136.5,76.000007823,0,0,0,0,0,0
"154",139.5,76.000007823,0,0,0,0,0,0
"155",142.5,76.000007823,0,0,0,0,0,0
"156",145.5,76.000007823,0,0,0,0,0,0
"157",148.5,76.000007823,0,0,0,0,0,0
"158",151.5,76.000007823,0,0,0,0,0,0
"159",-124.5,73.000007823,0,1,0,0,0,0
"160",-121.5,73.000007823,0,1,0,0,0,0
"161",-118.5,73.000007823,0,1,0,0,0,0
"162",-115.5,73.000007823,0,1,0,0,0,0
"163",-112.5,73.000007823,0,1,0,0,0,0
"164",-109.5,73.000007823,0,1,0,0,0,0
"165",-106.5,73.000007823,0,1,0,0,0,0
"166",-103.5,73.000007823,0,1,0,0,0,0
"167",-100.5,73.000007823,0,0,0,0,0,0
"168",-97.5,73.000007823,0,0,0,0,0,0
"169",-94.5,73.000007823,0,1,0,0,0,1
"170",-91.5,73.000007823,0,0,0,0,0,0
"171",-88.5,73.000007823,0,1,0,0,0,1
"172",-85.5,73.000007823,0,1,0,0,0,1
"173",-82.5,73.000007823,0,1,0,0,0,1
"174",-79.5,73.000007823,0,1,0,0,0,1
"175",-76.5,73.000007823,0,1,0,0,0,1
"176",-73.5,73.000007823,0,1,0,0,0,1
"177",-58.5,73.000007823,0,0,0,0,0,0
"178",-55.5,73.000007823,0,0,0,0,0,0
"179",-52.5,73.000007823,0,0,0,0,0,0
"180",-49.5,73.000007823,0,0,0,0,0,0
"181",-46.5,73.000007823,0,0,0,0,0,0
"182",-43.5,73.000007823,0,0,0,0,0,0
"183",-40.5,73.000007823,0,0,0,0,0,0
"184",-37.5,73.000007823,0,0,0,0,0,0
"185",-34.5,73.000007823,0,0,0,0,0,0
"186",-31.5,73.000007823,0,0,0,0,0,0
"187",-28.5,73.000007823,0,0,0,0,0,0
"188",-25.5,73.000007823,0,0,0,0,0,0
"189",-22.5,73.000007823,0,0,0,0,0,0
"190",-19.5,73.000007823,0,0,0,0,0,0
"191",19.5,73.000007823,0,0,0,0,0,0
"192",52.5,73.000007823,0,0,0,0,0,0
"193",55.5,73.000007823,0,0,0,0,0,0
"194",58.5,73.000007823,0,0,0,0,0,0
"195",67.5,73.000007823,0,1,0,0,0,0
"196",70.5,73.000007823,0,1,0,0,0,0
"197",73.5,73.000007823,0,1,0,0,0,0
"198",76.5,73.000007823,0,1,0,0,0,0
"199",79.5,73.000007823,0,1,0,0,0,0
"200",82.5,73.000007823,0,1,0,0,0,0
"201",85.5,73.000007823,0,1,0,0,0,0
"202",88.5,73.000007823,0,1,0,0,0,0
"203",91.5,73.000007823,0,1,0,0,0,0
"204",94.5,73.000007823,0,1,0,0,0,0
"205",97.5,73.000007823,0,1,0,0,0,0
"206",100.5,73.000007823,0,1,0,0,0,1
"207",103.5,73.000007823,0,1,0,0,0,1
"208",106.5,73.000007823,0,1,0,0,0,1
"209",109.5,73.000007823,0,1,0,0,0,1
"210",112.5,73.000007823,0,1,0,0,0,1
"211",115.5,73.000007823,0,1,0,0,0,1
"212",118.5,73.000007823,0,1,0,0,0,1
"213",121.5,73.000007823,0,1,0,0,0,1
"214",124.5,73.000007823,0,1,0,0,0,1
"215",127.5,73.000007823,0,1,0,0,0,1
"216",130.5,73.000007823,0,1,0,0,0,1
"217",133.5,73.000007823,0,1,0,0,0,1
"218",136.5,73.000007823,0,0,0,0,0,0
"219",139.5,73.000007823,0,1,0,0,0,1
"220",142.5,73.000007823,0,1,0,0,0,1
"221",145.5,73.000007823,0,1,0,0,0,1
"222",148.5,73.000007823,0,1,0,0,0,1
"223",151.5,73.000007823,0,0,0,0,0,0
"224",-178.5,70.000007823,0,1,0,0,0,1
"225",-166.5,70.000007823,0,1,0,0,0,1
"226",-163.5,70.000007823,0,1,0,0,0,1
"227",-160.5,70.000007823,0,1,0,0,0,1
"228",-157.5,70.000007823,0,1,0,0,0,1
"229",-154.5,70.000007823,0,1,0,0,0,1
"230",-151.5,70.000007823,0,1,0,0,0,1
"231",-148.5,70.000007823,0,1,0,0,0,1
"232",-145.5,70.000007823,0,1,0,0,0,1
"233",-142.5,70.000007823,0,1,0,0,0,1
"234",-139.5,70.000007823,0,1,0,0,0,1
"235",-136.5,70.000007823,0,1,0,0,0,1
"236",-133.5,70.000007823,0,1,0,0,0,1
"237",-130.5,70.000007823,0,1,0,0,0,1
"238",-127.5,70.000007823,0,1,0,0,0,1
"239",-124.5,70.000007823,0,1,0,0,0,1
"240",-121.5,70.000007823,0,1,0,0,0,1
"241",-118.5,70.000007823,0,1,0,0,0,1
"242",-115.5,70.000007823,0,1,0,0,0,1
"243",-112.5,70.000007823,0,1,0,0,0,0
"244",-109.5,70.000007823,0,1,0,0,0,0
"245",-106.5,70.000007823,0,1,0,0,0,1
"246",-103.5,70.000007823,0,1,0,0,0,0
"247",-100.5,70.000007823,0,1,0,0,0,0
"248",-97.5,70.000007823,0,1,0,0,0,1
"249",-94.5,70.000007823,0,1,0,0,0,1
"250",-91.5,70.000007823,0,1,0,0,0,1
"251",-88.5,70.000007823,0,1,0,0,0,1
"252",-85.5,70.000007823,0,1,0,0,0,1
"253",-82.5,70.000007823,0,1,0,0,0,1
"254",-79.5,70.000007823,0,1,0,0,0,1
"255",-76.5,70.000007823,0,1,0,0,0,1
"256",-73.5,70.000007823,0,1,0,0,0,1
"257",-70.5,70.000007823,0,1,0,0,0,1
"258",-67.5,70.000007823,0,1,0,0,0,1
"259",-55.5,70.000007823,0,0,0,0,0,0
"260",-52.5,70.000007823,0,0,0,0,0,0
"261",-49.5,70.000007823,0,0,0,0,0,0
"262",-46.5,70.000007823,0,0,0,0,0,0
"263",-43.5,70.000007823,0,0,0,0,0,0
"264",-40.5,70.000007823,0,0,0,0,0,0
"265",-37.5,70.000007823,0,0,0,0,0,0
"266",-34.5,70.000007823,0,0,0,0,0,0
"267",-31.5,70.000007823,0,0,0,0,0,0
"268",-28.5,70.000007823,0,0,0,0,0,0
"269",-25.5,70.000007823,0,0,0,0,0,0
"270",-22.5,70.000007823,0,0,0,0,0,0
"271",-7.5,70.000007823,0,0,0,0,0,0
"272",13.5,70.000007823,0,0,0,0,0,0
"273",16.5,70.000007823,0,1,0,0,0,1
"274",19.5,70.000007823,0,1,0,0,0,1
"275",22.5,70.000007823,0,1,0,0,0,1
"276",25.5,70.000007823,0,1,0,0,0,1
"277",28.5,70.000007823,0,1,0,0,0,1
"278",31.5,70.000007823,0,1,0,0,0,1
"279",34.5,70.000007823,0,1,0,0,0,1
"280",37.5,70.000007823,0,1,0,0,0,1
"281",43.5,70.000007823,0,0,0,0,0,0
"282",49.5,70.000007823,0,0,0,0,0,0
"283",52.5,70.000007823,0,1,0,0,0,1
"284",55.5,70.000007823,0,0,0,0,0,0
"285",58.5,70.000007823,0,1,0,0,0,1
"286",61.5,70.000007823,0,1,0,0,0,1
"287",64.5,70.000007823,0,1,0,0,0,1
"288",67.5,70.000007823,0,1,0,0,0,1
"289",70.5,70.000007823,0,1,0,0,0,0
"290",73.5,70.000007823,0,1,0,0,0,0
"291",76.5,70.000007823,0,1,0,0,0,0
"292",79.5,70.000007823,0,1,0,0,0,0
"293",82.5,70.000007823,0,1,0,0,0,1
"294",85.5,70.000007823,0,1,0,0,0,1
"295",88.5,70.000007823,0,1,0,0,0,1
"296",91.5,70.000007823,0,1,0,0,0,1
"297",94.5,70.000007823,0,1,0,0,0,1
"298",97.5,70.000007823,0,1,0,0,0,1
"299",100.5,70.000007823,0,1,0,0,0,1
"300",103.5,70.000007823,0,1,0,0,0,1
"301",106.5,70.000007823,0,1,0,0,0,1
"302",109.5,70.000007823,0,1,0,0,0,1
"303",112.5,70.000007823,0,1,0,0,0,1
"304",115.5,70.000007823,0,1,0,0,0,1
"305",118.5,70.000007823,0,1,0,0,0,1
"306",121.5,70.000007823,0,1,0,0,0,1
"307",124.5,70.000007823,0,1,0,0,0,1
"308",127.5,70.000007823,0,1,0,0,0,1
"309",130.5,70.000007823,0,1,0,0,0,1
"310",133.5,70.000007823,0,1,0,0,0,1
"311",136.5,70.000007823,0,1,0,0,0,1
"312",139.5,70.000007823,0,1,0,0,0,1
"313",142.5,70.000007823,0,1,0,0,0,1
"314",145.5,70.000007823,0,1,0,0,0,1
"315",148.5,70.000007823,0,1,0,0,0,1
"316",151.5,70.000007823,0,1,0,0,0,1
"317",154.5,70.000007823,0,1,0,0,0,1
"318",157.5,70.000007823,0,1,0,0,0,1
"319",160.5,70.000007823,0,1,0,0,0,1
"320",163.5,70.000007823,0,1,0,0,0,1
"321",166.5,70.000007823,0,1,0,0,0,1
"322",169.5,70.000007823,0,1,0,0,0,1
"323",172.5,70.000007823,0,1,0,0,0,1
"324",175.5,70.000007823,0,1,0,0,0,1
"325",178.5,70.000007823,0,1,0,0,0,1
"326",-178.5,67.000007823,0,1,0,0,0,1
"327",-175.5,67.000007823,0,1,0,0,0,1
"328",-172.5,67.000007823,0,1,0,0,0,1
"329",-169.5,67.000007823,0,1,0,0,0,1
"330",-166.5,67.000007823,0,1,0,0,0,1
"331",-163.5,67.000007823,0,1,0,0,0,1
"332",-160.5,67.000007823,0,1,0,0,0,1
"333",-157.5,67.000007823,0,1,0,0,0,1
"334",-154.5,67.000007823,0,1,0,0,0,1
"335",-151.5,67.000007823,0,1,0,0,0,1
"336",-148.5,67.000007823,0,1,0,0,0,1
"337",-145.5,67.000007823,0,1,0,0,0,1
"338",-142.5,67.000007823,0,1,0,0,0,1
"339",-139.5,67.000007823,0,1,0,0,0,1
"340",-136.5,67.000007823,0,1,0,0,0,1
"341",-133.5,67.000007823,0,1,0,0,0,1
"342",-130.5,67.000007823,0,1,0,0,0,1
"343",-127.5,67.000007823,0,1,0,0,0,1
"344",-124.5,67.000007823,0,1,0,0,0,1
"345",-121.5,67.000007823,0,1,0,0,0,1
"346",-118.5,67.000007823,0,1,0,0,0,1
"347",-115.5,67.000007823,0,1,0,0,0,1
"348",-112.5,67.000007823,0,1,0,0,0,1
"349",-109.5,67.000007823,0,1,0,0,0,1
"350",-106.5,67.000007823,0,1,0,0,0,1
"351",-103.5,67.000007823,0,1,0,0,0,1
"352",-100.5,67.000007823,0,1,0,0,0,1
"353",-97.5,67.000007823,0,1,0,0,0,1
"354",-94.5,67.000007823,0,1,0,0,0,1
"355",-91.5,67.000007823,0,1,0,0,0,1
"356",-88.5,67.000007823,0,1,0,0,0,1
"357",-85.5,67.000007823,0,1,0,0,0,1
"358",-82.5,67.000007823,0,1,0,0,0,1
"359",-79.5,67.000007823,0,0,0,0,0,0
"360",-76.5,67.000007823,0,0,0,0,0,0
"361",-73.5,67.000007823,0,1,0,0,0,1
"362",-70.5,67.000007823,0,1,0,0,0,1
"363",-67.5,67.000007823,0,1,0,0,0,1
"364",-64.5,67.000007823,0,1,0,0,0,1
"365",-61.5,67.000007823,0,1,0,0,0,1
"366",-52.5,67.000007823,0,0,0,0,0,0
"367",-49.5,67.000007823,0,0,0,0,0,0
"368",-46.5,67.000007823,0,0,0,0,0,0
"369",-43.5,67.000007823,0,0,0,0,0,0
"370",-40.5,67.000007823,0,0,0,0,0,0
"371",-37.5,67.000007823,0,0,0,0,0,0
"372",-34.5,67.000007823,0,0,0,0,0,0
"373",-31.5,67.000007823,0,0,0,0,0,0
"374",-28.5,67.000007823,0,0,0,0,0,0
"375",-22.5,67.000007823,0,0,0,0,0,0
"376",-19.5,67.000007823,0,0,0,0,0,0
"377",-16.5,67.000007823,0,0,0,0,0,0
"378",-13.5,67.000007823,0,0,0,0,0,0
"379",10.5,67.000007823,0,0,0,0,0,0
"380",13.5,67.000007823,0,1,0,0,0,1
"381",16.5,67.000007823,0,1,0,0,0,1
"382",19.5,67.000007823,0,1,0,0,0,1
"383",22.5,67.000007823,0,1,0,0,0,1
"384",25.5,67.000007823,0,1,0,0,0,1
"385",28.5,67.000007823,0,1,0,0,0,1
"386",31.5,67.000007823,0,1,0,0,0,1
"387",34.5,67.000007823,0,1,0,0,0,1
"388",37.5,67.000007823,0,1,0,0,0,1
"389",40.5,67.000007823,0,1,0,0,0,1
"390",43.5,67.000007823,0,1,0,0,0,1
"391",46.5,67.000007823,0,1,0,0,0,1
"392",49.5,67.000007823,0,1,0,0,0,1
"393",52.5,67.000007823,0,1,0,0,0,1
"394",55.5,67.000007823,0,1,0,0,0,1
"395",58.5,67.000007823,0,1,0,0,0,1
"396",61.5,67.000007823,0,1,0,0,0,1
"397",64.5,67.000007823,0,1,0,0,0,1
"398",67.5,67.000007823,0,1,0,0,0,1
"399",70.5,67.000007823,0,1,0,0,0,1
"400",73.5,67.000007823,0,1,0,0,0,1
"401",76.5,67.000007823,0,1,0,0,0,1
"402",79.5,67.000007823,0,1,0,0,0,1
"403",82.5,67.000007823,0,1,0,0,0,1
"404",85.5,67.000007823,0,1,0,0,0,1
"405",88.5,67.000007823,0,1,0,0,0,1
"406",91.5,67.000007823,0,1,0,0,0,1
"407",94.5,67.000007823,0,1,0,0,0,1
"408",97.5,67.000007823,0,1,0,0,0,1
"409",100.5,67.000007823,0,1,0,0,0,1
"410",103.5,67.000007823,0,1,0,0,0,1
"411",106.5,67.000007823,0,1,0,0,0,1
"412",109.5,67.000007823,0,1,0,0,0,1
"413",112.5,67.000007823,0,1,0,0,0,1
"414",115.5,67.000007823,0,1,0,0,0,1
"415",118.5,67.000007823,0,1,0,0,0,1
"416",121.5,67.000007823,0,1,0,0,0,1
"417",124.5,67.000007823,0,1,0,0,0,1
"418",127.5,67.000007823,0,1,0,0,0,1
"419",130.5,67.000007823,0,1,0,0,0,1
"420",133.5,67.000007823,0,1,0,0,0,1
"421",136.5,67.000007823,0,1,0,0,0,1
"422",139.5,67.000007823,0,1,0,0,0,1
"423",142.5,67.000007823,0,1,0,0,0,1
"424",145.5,67.000007823,0,1,0,0,0,1
"425",148.5,67.000007823,0,1,0,0,0,1
"426",151.5,67.000007823,0,1,0,0,0,1
"427",154.5,67.000007823,0,1,0,0,0,1
"428",157.5,67.000007823,0,1,0,0,0,1
"429",160.5,67.000007823,0,1,0,0,0,1
"430",163.5,67.000007823,0,1,0,0,0,1
"431",166.5,67.000007823,0,1,0,0,0,1
"432",169.5,67.000007823,0,1,0,0,0,1
"433",172.5,67.000007823,0,1,0,0,0,1
"434",175.5,67.000007823,0,1,0,0,0,1
"435",178.5,67.000007823,0,1,0,0,0,1
"436",-178.5,64.000007823,0,1,0,0,0,1
"437",-175.5,64.000007823,0,1,0,0,0,1
"438",-172.5,64.000007823,0,1,0,0,0,1
"439",-169.5,64.000007823,0,0,0,0,0,0
"440",-166.5,64.000007823,0,1,0,0,0,1
"441",-163.5,64.000007823,0,1,0,0,0,1
"442",-160.5,64.000007823,0,1,0,0,0,1
"443",-157.5,64.000007823,0,1,0,0,0,1
"444",-154.5,64.000007823,0,1,0,0,0,1
"445",-151.5,64.000007823,0,1,0,0,0,1
"446",-148.5,64.000007823,0,1,0,0,0,1
"447",-145.5,64.000007823,0,1,0,0,0,1
"448",-142.5,64.000007823,0,1,0,0,0,1
"449",-139.5,64.000007823,0,1,0,0,0,1
"450",-136.5,64.000007823,0,1,0,0,0,1
"451",-133.5,64.000007823,0,1,0,0,0,1
"452",-130.5,64.000007823,0,1,0,0,0,1
"453",-127.5,64.000007823,0,1,0,0,0,1
"454",-124.5,64.000007823,0,1,0,0,0,1
"455",-121.5,64.000007823,0,1,0,0,0,1
"456",-118.5,64.000007823,0,1,0,0,0,1
"457",-115.5,64.000007823,0,1,0,0,0,1
"458",-112.5,64.000007823,0,1,0,0,0,1
"459",-109.5,64.000007823,0,1,0,0,0,1
"460",-106.5,64.000007823,0,1,0,0,0,1
"461",-103.5,64.000007823,0,1,0,0,0,1
"462",-100.5,64.000007823,0,1,0,0,0,1
"463",-97.5,64.000007823,0,1,0,0,0,1
"464",-94.5,64.000007823,0,1,0,0,0,1
"465",-91.5,64.000007823,0,1,0,0,0,1
"466",-88.5,64.000007823,0,1,0,0,0,1
"467",-85.5,64.000007823,0,0,0,0,0,0
"468",-82.5,64.000007823,0,0,0,0,0,0
"469",-79.5,64.000007823,0,0,0,0,0,0
"470",-76.5,64.000007823,0,1,0,0,0,1
"471",-73.5,64.000007823,0,1,0,0,0,1
"472",-70.5,64.000007823,0,1,0,0,0,1
"473",-67.5,64.000007823,0,1,0,0,0,1
"474",-64.5,64.000007823,0,1,0,0,0,1
"475",-61.5,64.000007823,0,0,0,0,0,0
"476",-52.5,64.000007823,0,0,0,0,0,0
"477",-49.5,64.000007823,0,0,0,0,0,0
"478",-46.5,64.000007823,0,0,0,0,0,0
"479",-43.5,64.000007823,0,0,0,0,0,0
"480",-40.5,64.000007823,0,0,0,0,0,0
"481",-25.5,64.000007823,0,0,0,0,0,0
"482",-22.5,64.000007823,0,0,0,0,0,0
"483",-19.5,64.000007823,0,0,0,0,0,0
"484",-16.5,64.000007823,0,0,0,0,0,0
"485",-13.5,64.000007823,0,0,0,0,0,0
"486",7.5,64.000007823,0,1,0,0,0,1
"487",10.5,64.000007823,0,1,0,0,0,1
"488",13.5,64.000007823,0,1,0,0,0,1
"489",16.5,64.000007823,0,1,0,0,0,1
"490",19.5,64.000007823,0,1,0,0,0,1
"491",22.5,64.000007823,0,1,0,0,0,1
"492",25.5,64.000007823,0,1,0,0,0,1
"493",28.5,64.000007823,0,1,0,0,0,1
"494",31.5,64.000007823,0,1,0,0,0,1
"495",34.5,64.000007823,0,1,0,0,0,1
"496",37.5,64.000007823,0,1,0,0,0,1
"497",40.5,64.000007823,0,1,0,0,0,1
"498",43.5,64.000007823,0,1,0,0,0,1
"499",46.5,64.000007823,0,1,0,0,0,1
"500",49.5,64.000007823,0,1,0,0,0,1
"501",52.5,64.000007823,0,1,0,0,0,1
"502",55.5,64.000007823,0,1,0,0,0,1
"503",58.5,64.000007823,0,1,0,0,0,1
